,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
187271,187272,B001O2HB5U,A3QDULE3W1A97M,Conscientious Mom,13,14,3,1292976000,Ingredients not listed on product description,"Earth's Best and in particular, the sweet potato cinnamon and pumpkin apple varieties of this Seasonal Harvest line (which we have purchased elsewhere before), are brilliant and have really appealed to my picky eater but ... a note of concern and the reason I am writing a review for the first time, and only giving 3 stars, is because the apple turkey cranberry dinner contains WHEAT, which is disclosed on the jar once you purchase, receive and open the package, and the green bean casserole contains ONION, again only listed on the jar and not something every baby can tolerate.  Unfortunately that means we can only eat half of this pack, which doesn't make it very cost effective.  Otherwise, really good food."
117127,117128,B001J9SUHG,A3N5LBB3UR0TUG,lleweck,0,0,3,1326412800,me,The dogs loved them.  I was looking for something that would last a long time and be good for them other than play toys they tend to eat.  These went pretty fast for the money I paid for them.  Would like something that is good for them and close to indestructible and also keeps them entertained for a long time.
44978,44979,B0029NTQ1K,AD7SZAO857FBT,Brenda,0,0,5,1301702400,Like An Addiction,"I have 2 cats and they are basically addicted to this stuff.  The minute I so much as pick up the bag they come running from whereever they are.  Even if you just say ""yellow bag"" the little ears perk up and they are ready to pounce.  Don't have any idea what makes them so irresistable but they obviously are.  I know other people who have had the same experience with their cats.  Too bad chocolate doesn't have 2 calories per piece like this does."
513949,513950,B000KERGK8,AR6SCQAD2XGTZ,"T. Halliday ""Book Devourer""",3,3,5,1270080000,Crowd Pleaser,"Greenies are the house crowd pleaser...my westie, who is NOT food oriented, will pull out every trick in her repertoire before I can ask to get one of these. My lab starts to drool when he sees one. My shihvanese practically does back flips! Everyone loves greenies. I like how they leave my dogs' breath sweet smelling and teeth clean. Easily digestible, senior formulas with joint help, great on their digestive system, just a great, great product! Can't recommend it enough.<br /><br />I will say though...if your dog is a gulper, please make sure you watch them while they eat/chew. They seem to like it so much that you really need to be on hand just in case, as is true with any chewy product for your furkids!"
135800,135801,B0046HJN5G,A3TI21HSG5120E,Janice,1,1,5,1324166400,"The best ""Bar""","Kind bars are GOOD.  I'm a hiker and it's tough to hike in food that is both lightweight and tasty.  Kind Bars are the best I've found.  No more powerbars for me.  They are full of natural ingredients - you can see them all.  About 170 calories per bar (average).  Some of my favorite flavors are Chocolate Cherry Cashew and Cranberry Almond, but there's not a ""bad"" flavor.  I keep these at work for that mid-morning snack and in the car all the time."
459301,459302,B004K6CW4M,A2KV34A77RNNGU,Alba Maria Roldan,0,0,5,1338076800,Great product,Always consistently good.  High quality salt.  My primary choice for over ten years.  Have compared to others and it always wins...hands-down.
554128,554129,B003C5NN8Q,AKTWYZ3WMNG0X,Shara Chesney,0,0,5,1345766400,My dachshund Loves these!,"I buy a bag for him every month and allow him 1-1.5 strips a day.  He hears the package crumple and comes running! He has separation anxiety and this is the only thing he will eat if he suspects we are leaving. If he knows I'm holding he will not let me out of his sight. He has a great nose, so I like to hide them in various places and he loves the hunt. Have tried numerous other treats - Mellow Mutt and Happy Hips jerky is the brand he goes crazy for"
305853,305854,B008BY7O9W,A3O0PHZ5CU8THZ,Cathy Goglia,12,22,1,1286841600,High Price,Go to Bell Plantation's web site and get a 4 pack for the same price.  I made the mistake of not shopping around...  You can get this for a much better price.
215768,215769,B002Z04ZNQ,A74TP8PFUUIXS,Charlotte Conrad,1,1,5,1271116800,this is my crack,"it's hard to say how much i love this stuff. i've tried many brands, but this is it for me. others tend to taste a bit green and weedy, whereas this brand is sweeter and mild. i could see bringing this with me on a ride on my road bike. best when cold, of course."
466651,466652,B00061KZOE,A2G2IL94RM77BZ,Paul Marani,4,4,5,1165708800,Only one for us,"I have grown up on Open Pit.  It seems to be the only sauce that my parents have used, and the only on that I truly enjoy.  It is sort of spicy, yet tomatoey (is that a word).  A lot of stores have stopped carrying it on the East coast, but we have found it through Amazon."
368242,368243,B001ZWHGFO,A1GQMYH0V691NS,hailey,0,0,4,1322438400,Quality,It is what it is. Our community now has erected a poop station The bags are actually bigger and stronger
88642,88643,B000PMJLJO,AGEKVD8JPZQMT,"M. Rodriguez ""Cnyper""",0,0,4,1268956800,That's what she said!,"This is big!  It's about a foot long and they has a pretty good girth to it (that's what she said)!  It's not as soft as normal jerky you find in the bag - I think this stuff is made differently.  It's tough and salty (that's what she said).  It's not the best tasting Jerky I've ever had, but for the price it definitely exceeds my expectations.  I've tried the Oberto brand jerky sticks and they were not very good at all.  And with 23g of protein and only 2g of fat in each stick it's pretty good for you!  One stick is pretty much a meal, though.  I find myself working on it for about 30 minutes before I down it all (that's what she said).<br /><br />Goodnight everybody - i'll be in town all week!"
154214,154215,B003NDJ86S,A32QJHPMHHBIAQ,Robert I. Mellen,5,5,5,1234483200,Tasty,We use this popcorn in an air popper on the weekends. It is delicious and tastes much better than anything we have been able to find in the stores.
111014,111015,B002AN8GXS,A2HGH80EGNOO1I,Think About It,1,1,5,1298160000,Dogs can't wait!,My dogs like this so much that they bark while I'm dishing it up!  They have liked all of the Wellness Stew brands that they have tried.  It smells and looks good too.
564919,564920,B002EDIJL8,A4K59NXQ1L2WB,"virgo girl ""SAM""",0,0,5,1264723200,BEST ever!!!!,I have been eating TAFFY cookies since I was a little girl. Raised in CA they were always available 2 me... When i moved 2 the east coast in my twenties i couldn't find them here. I use to buy boxes when i went 2 visit friends down south lol. When mothers went out of business i thought i would have 2 give up cookies all together thats how good they are!!! im so glad they are back... now i just need to get them 2 the east coast!!!!!
175997,175998,B007TGO1U8,A2TO2BN3P4C00L,Music Fan Jeff,2,3,4,1340841600,"surprisingly neutral flavor with no aftertaste, but perhaps less sweet than some sugar substitutes","As some background, I should disclose that I regularly use Splenda -- most frequently in plain greek yogurt, either mixed in with some fruit or some other flavoring such as vanilla beans.  In the past I have regularly used Nutrasweet.  I have tried Stevia but I found that I did not like its aftertaste.  I never warmed to saccharine because of its bad aftertaste, too.  I have used Splenda blends in baking with good results as well, though I seldom bake any sweets any more due to dietary reasons.<br /><br />What I liked about Nectresse was that it didn't seem to add any flavor to my yogurt beyond sweetness.  I detected no aftertaste at all, and the sweetness itself was fairly mild.  By comparison, the same amount of Splenda (one packet per 8 ounces of yogurt) has a higher level of sweetness.<br /><br />Just to confirm my perceptions, I decided to taste both Nectresse and Splenda by themselves.  In this taste test, I again found Nectresse to have a slightly lower level of sweetness.  Nectresse looks a bit more like sugar -- small grains versus fine white powder.  Beyond the different appearance and slightly different intensity level, the products were nearly identical in that they both taste clean with a hint of an aftertaste that is apparent when consumed alone but is masked when used as they normally would be -- mixed with other ingredients.<br /><br />I'll leave it to others to debate how natural this product is.  In addition to the hyped monk fruit extract, it also contains erythritol, sugar, and molasses.  In fact, erythritol is the first ingredient listed, so I assume that means that the product, by weight, contains more of that than the other ingredients.  According to what I read online, erythritol is much less likely to cause intestinal discomfort than other sugar alcohols because it is largely absorbed in the small intestine.  I've never been bothered by any sugar alcohol in this regard, however, except on the lone unfortunate occasion when I consumed WAY too much sugar-free chocolate and had a regretful afternoon."
468314,468315,B003Z8NEL6,A2PZTICSG1XTH,alexander f jaja,3,3,5,1332720000,Excellent purchase,"What can I saw, is there a better (non-gourmet) coffee than Tim Horton's? If there is, please someone let me know, because to find a bag of flavorful & rich coffee for under 7$ is quite a bargain these days. If you like Dunkin Donuts, this feels like its Canadian richer relative, same fine taste but slightly more sophisticated ;)<br /><br />Enjoy, Alex"
216873,216874,B008EG5ADY,A28X7NZ02016FO,eCognition,0,0,4,1339113600,Just a hint....But nothing more.,"A hint of brown sugar, that is. Well, I happen to like more than a hint of sweetness in my bowl of cereal, so I had to figure out how to approach this cereal. Looking at the marketing on the box, I tried to pretend I was someone who actually cared enough about their health to appreciate the lack of sweetness in their brand of cereal. When I did, this cereal immediately came across as tasty and healthy. There is a hint of brown sugar, but nothing more. Just enough to keep you from wanting to ask someone else for a packet of sugar if you were eating it at work, for example. I happen to be eating it at home, so once I tried it without sugar, I put my daily dose of sugar back in there, so I could judge the taste of the actual product both ways. I think both the health nut and the sugar-adventurous type will appreciate the taste of this cereal. My rating takes my bias in favor of sugar into account, and judges the actual product by how I would take it in my natural environment. Especially since the user can always add a sweetener later, but you can't add taste so easily.<br /><br />If you're kids are already 'trained' to eat healthy, they could theoretically munch on these as a snack-in addition to having them with milk-without complaining. If you're kids are the 'frosted flakes' type, then they may glance you a 'why are you doing this to me?' look. They'll be getting their whole grains, a good amount of protein (6g/cup)and fiber (5g/cup). If you glanced a 'this is all we have, so take it or leave it' look, then I think they'd continue to munch on it, but not without giving that 'fine...but I'm not thrilled about this, just so you know' pouty-face look.<br /><br />On the front, it says the cereal has 1 gram per serving of soluble fiber and that 3 grams of soluble fiber from oatmeal daily in a diet low in saturated fat and cholesterol may reduce the risk of heart disease, but in the nutritional facts section, it states the product as having 2 grams of soluble fiber (with a total fiber content of 5 grams). I guess if you were looking out for that kind of thing, you might take the lowest figure of 1 gram per serving, to be safe.<br /><br />In sum, it's pretty good-tasting and healthy,too."
109,110,B001REEG6C,AY12DBB0U420B,Gary Peterson,0,0,5,1316390400,My Idea of a Good Diet Food.,"I'm presently on a diet and I was at my Fresh and Easy Neighborhood Grocery looking over possible diet foods. I wanted things that were tasty, non-fat and low in calories. I came home with about a dozen items. That's how I discovered the Tillen Farms Pickled Crispy Asparagus. Well, I've always liked asparagus anyway and I've enjoyed several brands of pickled asparagus. This Tillen Farms brand is really, really good! It's the best I can recall. There's an excellent flavor and a big clove of garlic down in  the bottom of the jar which I'm looking forward to eating. I can't believe how good this asparagus tastes and right on the front it says ""only 60 calories per jar!"" Now this is my idea of a good diet food!<br /><br />Gary Peterson"
11837,11838,B004P4TL8E,A3DPTITWLD7DSN,bob,0,0,4,1347753600,Storage Dawer,"I Decided to fasten it under our cabinet to save more space. It is very sturdy, well made, and works great,"
161290,161291,B008O3G2K2,AC1YLEFC9AN5X,"M. Kelley ""mpkelley20""",1,1,4,1319414400,Beagle loves it but it stinks!,"Got this for my 9 year old beagle.  She ""expects"" treats anytime she comes back in from outside and has pretty much figured out how to work that system with my 4 year old so she gets treats every 5 minutes (really need to figure out a better lock for the back door!).  I saw this Lickety Stik and the concept seems good.  I had read some reviews about certain dogs not liking this product at all but that is not the case with my beagle.  In fact, she LOVES this stuff and will sit near the counter staring up at it.  My only issue with this product is that it really stinks....and I mean really stinks!!  I try to quickly open it, let my beagle take a few licks and then close it as quickly as possible.<br /><br />It works very similar to how a roll on deoderant would work so if you haven;t used it for a few days, it may take some manual intervention to get the top of the ball wet enough to turn on its own.  I don't have any issues as my dog can easily get it started using her tounge.<br /><br />I will most likely try the other flavors of this since my dog likes it so much.  Plus, assuming this product is accurate in its description, cutting back on the fatty treats she normally gets will be a benefit to her health."
141176,141177,B00356FSAS,A3DAS42VRO66SN,"W. Wang ""Gadget Guy""",1,3,2,1304380800,My twins hates it!,"I wouldn't say my twins are picky eater, but they wouldn't eat this one.  They eat just about every Gerber's organics."
87035,87036,B001PMDYZA,AS9BM0ZQOXMCY,Larry,20,22,1,1281225600,Must have been a contaminated batch,"We bought a case of 12 12 oz cans back in April. Just now opened the first can. Wow. Consistency of vomit, grayish tinge, and a vile odor. Opened a second can -- exactly the same. No way were we going to feed it to our dog. Something was clearly wrong.<br /><br />We've been buying Newman's Own dog food for the last two years (since we got a dog) and never experienced anything like this. Interesting to look back at the reviews here and see three from the April - May timeframe that sound like there may have been similar issues for others around the same time we made our purchase.  Guessing there must have been a production run that resulted in contaminated product. We've reported the issue to both Newman's Own and the FDA."
411037,411038,B000YQDCMS,ACA7W5NZRASFT,P. Armstrong,0,0,5,1328227200,Baskin Robins sugar-free hard candy,Candy is sugar-free but has a good taste with no after taste.  Flavoris creamy with nice chocolate mint flavor.<br />Candy was well packaged and cheaper than at most retail stores.
499963,499964,B000EDBQ6A,A3N8SB9LJ9A4F1,Laraine Ziesman,0,0,5,1345420800,"good for skin, good for heart",I absolutely love this deal. Got 4-pack and store it in my fridge. I use 2 table spoons every day - just adding to my shakes in the morning. It works wonders! My skin has improved and my heart rate is better.
369983,369984,B000FFRY2C,A1335E2GYODU1Q,ConGradMom,0,0,5,1286928000,My boys' love this bread,My children have been on a gluten free diet for 6 years now. They love this bread! It is great for lunches - we put it in a sandwhich holder so the bread doesn't crumble. Highly recommend it to anyone on a gluten free diet.
317227,317228,B000V1YFRC,A26KIN6LSNH840,R. Huffer,2,4,1,1302480000,My poor cats!,Though I could cheap it up on cat food. I thought wrong. This food cost me two trips to the vet due to intestinal issues it caused. Stick with a more expensive Vet-recommended product. It will save you in the long run.
527050,527051,B0087FG9AK,ALGUDJWO6TO11,Jon R. Kennedy,0,0,5,1346198400,The Best for Ice Tea,"I grew up on iced tea.  Unfortunately, being a Yankee, it was Nestea instant mix.  After moving down south, I discovered what REAL ice tea is.  Over the years, making iced tea at home, I had tried the big-name teas - Lipton, Luzianne, Tetley, etc. - and thought they were okay, but I could never quite make the tea strong enough no matter how long I left the teabags to steep.  Then I came across Red Rose at the grocery store one day and thought I'd give it a try.  Wow, was I blown away at how much better it was.  Huge tea flavor from the same amount of teabags - that astringent tannin taste was so much more that I now think other brands must somehow either use poorer quality tea leaves or screw something up in their processing.<br /><br />But then, wouldn't you know, my grocery store stopped carrying Red Rose tea, so I started ordering it online directly from the company a few years ago.  I have had only one issue with one box (it had 21 instead of 22 and I just wanted to let them know for q.a. purposes - no big deal) and they promptly sent me a whole new box.  That's real customer service!  A company that cares if you like them or not, even if the issue was such a trifle! Finally, I found you can order it here at Amazon, albeit by the case, but that saves on shipping costs vs. ordering thru Redco Foods directly (where you can order individual boxes if you want to try it out).  And at $3/box it is a terrific price and value for the superior quality received.<br /><br />So, if you would like a stronger tea flavor from your ice tea, then Red Rose is the brand you've been looking for."
490203,490204,B000H7GS5W,A2E8C93K64SAP1,"T. O. Kiszka ""Vampire Fan""",0,0,5,1272240000,Delicious and Gluten-Free,"These cookies are delicious and gluten-free. I bought them as a gift for my daughter who has Celiac disease. But I eat them, too, just because of the taste and texture! The sale price was great, and they are wrapped individually for convenience. Great for packing lunches or just a snack on the go!"
561740,561741,B000V1JVAI,A32ZP0VTRGS0UO,A Customer,0,1,1,1264204800,Worst of the Hormel Compleats I have tried.,"I have tried most of the Hormel completes, and tend to like most of them. The meatloaf though has no flavor, it tastes like no meatloaf I have ever eaten, it is worse than bland,it has a bad taste."
332475,332476,B001EYUE6G,A3D7BA2K8F8XGZ,H. McCubbin,0,0,5,1349913600,Best I have had,"We picked up a box at their store in Waterbury, VT and it is one of my favorite K cups. The price was right, $16 for a pack of 24. It is great on a cold morning, perfectly balanced, not bitter, light and crisp!"
169468,169469,B001EPQROS,A3LBQ6BXXFSFXM,"Guilherme B. Boettch ""Maiona""",0,0,4,1303084800,"Except for the directions, this product does not let down","The directions tell you to only use these beans for your coffee. That's not necessary. I, myself, use regular beans and just a single teaspoon of Folgers on top and the end result is unbelievable.<br />I also recommend you keep your open bag in the refrigerator and the closed ones in your freezer, in order to keep them fresh."
175142,175143,B002TXT502,A1JHS4DUALF3HU,Marilyn DeSimony,0,1,5,1306108800,gluten free oatmeal,"As a gluten sensitive individual, I have found Bob's Redmill gluten free oatmeal allows me to use oatmeal in many recipies and just as a<br />cereal that was off limits to me before.  It's a very good product.<br /><br />This was an Amazon verified purchase."
528844,528845,B000EGSUMU,A2DRLWOUYLZPEH,"Kathy L. Otten ""Cotten""",0,0,5,1282435200,"Mrs. May's Dry-Roasted Snack, Cashew Crunch",The Cashew Crunch is a very tasty snack.  The flavor of the cashews is not destroyed with a lot of other ingredients.  I love that they are all natural with no artificial colors or flavors.
469262,469263,B001E4S7QA,A3VMCKYN22X0CO,Konrad Kern,0,0,4,1208995200,Tasted Good,"I generally make my own shakes from Whey Protein powder and add either yogurt (Yoplait vanilla is a favorite) or bananas, then blend it with a hand blender. The pre-mixed protein shakes I have tried are generally not as good. After trying this recovery shake though, containing both casein and whey proteins, I would have to say that it was actually pretty good. It was a little high in carbs (44gr) but I've never been one to worry about those.<br /> A good protein shake overall."
519010,519011,B000E7SYLG,A1N5VZ5Y25XBNH,MLNStroud,0,1,5,1275091200,zotz are fun,Our middle school students were delighted when they received Zotz at school.  Zotz are fun and tradeable.
493744,493745,B0044CPA28,A1QXE7OX7MSL2H,"M. Smith ""cenmad""",0,0,4,1296086400,"Surprisingly tasty, crunchy, not too sweet","As a lover of more hearty cereals like Grape-Nuts, I was a little worried this one might be too sweet.  Instead, I was pleasantly surprised to find that, sure, it reminded me (a lot) of Frosted Flakes, but was better.  It stayed very crunchy in milk (can't say that about the Frosted Flakes I remember), had a nice nuttiness to it - although I can't say I'd necessarily have realized it had nuts if the package hadn't clued me in.  As for healthiness - it's fortified like most cereals these days, but I was definitely hungry again an hour later and wasn't impressed by the protein or fiber content.  Overall a good cereal, but I docked one star for its dubious health value - I'll probably go back to Grape Nuts for daily eating."
559256,559257,B001EPQ8OC,APWCOAVILK94B,"Real Named Person ""wowzee""",0,0,2,1292112000,72 oz for $17 is a bargain not if want quality,"Sure this is cheap but its Tuna flakes and some water. I'd say about 9 oz Tuna and 3 oz water. I didnt like the texture and taste that much. I prefer the more solid meat less/no water ones that are more costly like Wild Planet and Chicken of the Sea brands. They dont make the surroundings stinky at all, but this Ambrosia  is a stink disaster waiting to happen. I also found it more smelly and i have to store half if it for later use. All too messy for me"
367885,367886,B003B3OOPA,A3MY1ZNGYGVLHV,Mandalyn C.,0,0,4,1348272000,So many uses...,I really like this coconut oil.  It's great for cooking.  It's also great for skin and (if necessary) haircare. There are so many uses for coconut oil that it is a staple item in my home!
324794,324795,B0026HHX7S,A2H74CO4ZM57DV,Sis,0,0,5,1337990400,Lucks,"<a href=""http://www.amazon.com/gp/product/B0026HHX7S"">Lucks Edible Image Deer, 1 ea</a><br />The image was exactly what I expected down to the very detail. So easy to use and to put on the top of the cake.  I trimmed in brown, added the deer footprints around it and it looked like a professional.  I am sure that my brother is going to love his birthday cake as he is a avid whitetail hunter.  Lucks did a wonderful job and they go out of their way to meet your needs and made sure that I had my image in time for the weekend. A very big thank you to Lucks."
213060,213061,B001E560PY,AUVJBPCFK2GGC,"BAM ""BAM""",1,1,5,1223337600,Excellent Raisins,"These raisins are are larger, plumper and moister than most other raisins. They stay fresh and moist even after they have been opened for several days. These are much better than the ""usual"" Sunmaid raisins and are a good value when compared to other brands of deluxe raisins. I would definitely buy again."
17196,17197,B006JG8ALK,A10IQD569MWNGU,Shop Girl,3,3,5,1327968000,omg Delish!,"these bars are very filling and very tasty!  I originally found them at Marshalls and was thrilled to find them in bulk here on amazon.com.  They're great for on the go days, and they really are filling."
429836,429837,B007RTR9FQ,A2MA4ATED1B1GB,"LLM ""dagoodnurse""",0,0,4,1344729600,Will continue to use,"I took this shampoo (and the conditioner) to the beauty salon with me.  The products meet the approval of my stylist and the owner of the salon. The shampoo was pleasant smelling, and left my hair soft. I also noted that it was quite easy to wash out. In the days since my wash, I haven't seen any flakes, or experienced anu itching."
398977,398978,B004CJ3VH4,A3M34NPTGTSIWI,Real Name,0,0,3,1344816000,"They are ok but ""brand"" is deceptive","I am not sure these are that different than any generic root beer barrels you might buy.  They taste fine, have a nice flavor and are as good as the rest.  But don't fool yourself into thinking these are ""original"" or made by Dad's.  Probably the exact same maker of the generic root beer barrels has licensed the Dad's name and puts a label on these -- and they cost 25-50% more than the others."
185074,185075,B000EEWZF0,A1K87ZHGUH2W59,"MaxConradFoster ""Max""",1,1,5,1342051200,Great Option for a Healthy Snack!,"I have never had sardines before, and wasn't sure what to expect. I was pleasantly surprised by these. The sardines are firm and meaty, the flavor is great and the olive oil helps keep them moist and easy to swallow. Highly recommend!"
222535,222536,B004E4CCSQ,ASF0R1CMSF26F,A. Burke,0,0,4,1328054400,"Cool concept with an ""OK"" taste","MIO's concept is quite cool. Basically, these are small 1.6-ouce squirt bottles which you can store pretty much anywhere - a cabinet, a desk drawer, a backpack, etc. - and you squirt them into water to create a  flavored drink. In this case, it's ""peach tea"" flavored and you put in one squirt for every 8 ounces of water. It's extremely convenient to just grab a bottle of water, throw two squirts of this stuff in, shake it up, and enjoy.<br /><br />But more importantly, does it taste good? Well... it taste OK. Nobody would mistake it for fresh Peach Tea, but it is somewhat palatable. I didn't notice the ""chemical"" aftertaste that other reviewers have mentioned, but it definitely does come across as artificially flavored. Based on other reviewers comments, it seems like there is wide range of opinions on the taste (as you would probably expect). So if you're looking for a convenient way to have flavored water anytime, then it's probably worth at least trying this product."
556872,556873,B000H0ZJHW,A390XWJ5KO0K83,maggidw,0,0,5,1284854400,Great for small dogs!,These are great for small dogs or for training. All good stuff in them too.
201045,201046,B00395570G,A3I4R03CNX1DVP,"WI Cheesehead in WA ""WICheeseheadinWA""",0,0,2,1295740800,"Good Coffee, Bad Packaging","My husband loves the coffee, but this is the only one he's had that he has to continually clean out the machine because the cartridges don't remained sealed. The coffee grounds get inside the machine and in the coffee. After closer inspection, some of the cups aren't well sealed when they come out of the box. The price sounded good, but not for the quality and aggrevation. We will not purchase Van Houtte products in the future."
288756,288757,B003Q4TTUO,A21AECRPLRW582,Mary Hope,1,1,5,1307836800,Glass bottles are much better than plastic.,"I have recently gotten into the sugar free syrups for my afternoon coffee break. The DaVinci syrups are very good in taste and quality. I will continue to purchase them but I prefer the glass bottles as opposed to the plastic packaging. To me, they taste better. In fact, if they come to me in plastic bottles, I will send them back. Similarly, if I find them in a store, I will not buy the ones in plastic bottles."
452598,452599,B000YSTGGW,A4QUFWAMFMTQH,"Christine Boubek ""CB""",1,1,1,1320192000,Rancid Smell,I bought this because I was looking for something with probiotics.  I have purchased a similar product from Plum Organics (contained Pro and prebiotics).  I have purchased several items from HappyBellies before and have been pleased with them all.  I ordered this despite the reviews from others that commented on the rancid smell.  I assume this has to do with the added DHA.  I bought 6 containers.  Opened all 6 and they ALL smelled rancid.  I would never feed this to my child.  Ended up contacting Amazon because there was no return available for this product.  Save yourself the hassle.  Buy Plum Organics Multi grain cereal.
488120,488121,B0013A0QXC,A1L4CEXV8CHYHA,Elias,0,0,5,1317945600,Senseo easy rating,"I purchased the Senseo Dark Roast coffee pods for two important reasons.<br />First, the ease of use and second I REALLY enjoy the flavor of a freshly brewed<br />cup every time I want one."
431849,431850,B000FFRY5O,A1663E4E2X2FMB,"A. Walker ""Redleg wife""",0,0,5,1228176000,good pretzels,My son is on the GFCG diet and these are his favorite snack. Although one shipment the pretzels were all broken in pieces.  But usually they are great.<br /><br />Support Autism Awareness
79650,79651,B004TJD758,A25AZWQRGZPK4A,Tara,0,0,4,1348358400,My first Amazing Grass product,"I really like this Superfood, but this is the only amazing grass product I have tried. If it doesn't dissolve really well, it can be a bit sweet. I've discovered that it dissolves really well in soy milk, but not almond or coconut milk. I also love the way it makes me feel. I'm gonna try some more of the flavors.<br /><br />Also, this is one of the amazing grass products that is not organic. Most are; this one isn't."
403667,403668,B00120XR0M,A82F6BLMZYE3P,toyfish,18,21,5,1250380800,quality product,"This product is amazing. It works great, smells great, is all organic and is about 4x cheaper than any other enzyme peel on the market (because it is half the price and twice the size). You can also get it almost anywhere. It made a huge difference on my skin and I would recommend it to anyone who has acne or a dull, bumpy complexion. The one down side is that it stings quite a bit, but it's supposed to do that. And afterward it feels great."
519578,519579,B006N3I1HM,AVUO5WUJT6WEN,Joel Hershey,0,0,5,1268092800,Gloria Jeans Hazelnut,This is the second time I ordered this coffee.  Very good blend with a very smooth taste.  You can't go wrong if you like Hazelnut coffee.
167261,167262,B000OLIXO0,AHDU9SXOO6SLL,RG,0,0,5,1336089600,Bye bye Starbucks!  This stuff is better!,"I am verrrry particular, and I can promise you this stuff tastes just like Starbucks' Green Tea Lattes!  I fell in love with this drink, but had a hard time accepting that I'd have to drop almost $5 every time.  I went on a mission to find an alternative, but didn't think I'd find one identical in taste.  I mixed 2 TBSP with 12 oz of soy milk and served it over ice.  The powder dissolved instantly, unlike the Starbucks stuff that just sits on the bottom and on the lid.  It's also sweetened, making it even more ridiculously easy to make.  This is probably going to be the least expensive Matcha mix you'll find, too, so look no further.  Try it!"
267316,267317,B000W5SLHW,A29JUMRL1US6YP,HTBK,7,8,5,1279497600,Best in Class Dry Dog Food,"Pet food has an immense range of quality that you can very roughly categorize into three levels.  (1) super cheap food that's basically feeding your dog garbage (1-2 stars); (2) food that's a good compromise on price and quality, containing some ingredients that aren't ideal but overall a healthy product (3-4 stars); and (3) ""price is no object"" foods that make no compromises (5-6 stars).  Orijen doesn't just fall into category 3, it's the best of it.  It's expensive, but you will not find a better dog food anywhere.  Period.<br /><br />Orijen is a Canada-based company that raises its own chickens, employs its own fisherman to catch fish and deliver them fresh, uses whole eggs instead of dried egg products, and loads its products with the highest quality ingredients you'll ever find in dog food.  It's good for your dog's muscles, heart, coat, skin, and is the most biologically appropriate dry dog food there is.  Instead of grains for the carb content that it needs to form the kibble, Orijen uses highly digestible fruits and vegetables with nutritious antioxidants and vitamins.<br /><br />Check out the first 6 ingredients in this product:  Fresh deboned chicken, chicken meal, turkey meal, russet potato, fresh deboned pacific salmon (a natural source of DHA and EPA), herring meal.  Meat, meat, meat, good carbs, meat, meat.<br /><br />Compare that to the first 6 ingredients in <a href=""http://www.amazon.com/gp/product/B00393E1KK"">Hill's Science Diet Adult Small Bites Dry Dog Food</a>, which I just selected by picking the first large size that came up in a search for ""hill's science diet dry dog food.""  Chicken, ground whole grain corn, ground whole grain sorghum, ground whole grain wheat, chicken by-product meal, soybean meal.  Meat, grain, grain, grain, low-quality animal filler like beaks and feet, and more grain.  It's loaded with grains that are cheap and known to be difficult to digest, often the cause of allergic reactions in dogs, and not nutritious.<br /><br />If you want a good compromise product, go for something like <a href=""http://www.amazon.com/gp/product/B0009X0RA6"">Chicken Soup for the Dog Lover's Soul Dry Dog Food for Adult Dog, Chicken Flavor, 35 Pound Bag</a>, a very good food that's a bit more affordable than Orijen.  If you want the best of the best for your fuzzy-faced friend(s), get Orijen.<br /><br />Final note:  this is extremely rich food.  Introduce it very slowly, even more slowly than you normally would a new food, and expect some loose stools during the process.  We started with 1/6 new food and upped it by 1/6 every week, so we took a month a half to transition completely to Orijen.  That helped a lot."
561239,561240,B003J9QJCW,A2A0D5GNKE1VIH,J. Procita,8,8,3,1222992000,Nice Idea but...,"It seemed like a good idea. Buy in bulk and save some cash, but as it were being shipped it must have warmed up and cooled down. Many of them were stuck together, and colors rubbed off on each other. There was a 2lb mass of beans in the box! Also, beware and don't freak out because the package consists of a cardboard box and jelly beans. No plastic inside the box, no paper lining, nothing. Kind of creepy, but I'm not dead yet, so it must be okay."
116349,116350,B002YJ0118,A2AB2P6TJ4G599,marcla,0,0,5,1337817600,Great Northern Popcorn,"This popcorn has a good taste like the movies theaters at a reasonable price. The package contains all of the ingredients and instructions to a good eating and popping experience.<br />Although I didn't got through the whole case I bought,family and friends loved it. Nice product I'll buy from Discount Tommy soon!<br /><br />  Marcla"
42813,42814,B002NHYQAS,A3BBCDCHC5U1VK,CAWireless,0,0,5,1298419200,Yummy!,"I am not a chocolate connoisseur, but I've tasted enough varieties to know some of the differences. I like dark chocolate but still prefer it to retain some sweetness, which can be a tricky balance. (Ever try 95% dark cocoa chocolate? It's like paying $5 to eat a stick of chalk.)<br /><br />This chocolate bar is labeled as 54% cocoa, which is an interesting choice. It has a nice aroma, and the color is somewhere between milk chocolate and one of those European dark chocolate bars. Most importantly, it tastes great. There is a smooth consistency, and it has a really nice blend of sweetness and bitterness. I shared the bar with a couple of other folks, who had the same impression. We give it 3 thumbs up."
340947,340948,B000UJTZ8O,A3JET38OD7PFEZ,D. T. Kyle,0,0,1,1314316800,Did not work,We tried over and over to catch the moles and no luck. So I would not recommend this product for getting the moles out of your yard.
